,t,Q,P,h,Target,dt,tIn,tOff,PRDay
0,2024-02-27 00:00:00,1.0297,74.6797,15.45619918,107.98269730103708,16.75,2024-02-27,2024-02-27 16:45:00,47.832176040519165
1,2024-02-27 00:15:00,1.0314,74.6215,15.41948854,107.90407562016895,16.75,2024-02-27,2024-02-27 16:45:00,47.82972366542857
2,2024-02-27 00:30:00,1.0281,75.0384,15.46639658,107.88604040782074,16.75,2024-02-27,2024-02-27 16:45:00,48.1049820389654
3,2024-02-27 00:45:00,1.0288,75.0155,15.50208748,108.20862834360702,16.75,2024-02-27,2024-02-27 16:45:00,47.94693630598346
4,2024-02-27 01:00:00,1.0285,75.4011,15.5561337,108.55422125927505,16.75,2024-02-27,2024-02-27 16:45:00,48.039968190039694
5,2024-02-27 01:15:00,1.0287,74.8541,15.54899552,108.52550896874533,16.75,2024-02-27,2024-02-27 16:45:00,47.704078104178905
6,2024-02-27 01:30:00,1.0247,75.3457,15.550015259999999,108.11060775669604,16.75,2024-02-27,2024-02-27 16:45:00,48.20165044344574
7,2024-02-27 01:45:00,1.0275,75.4594,15.524521759999999,108.22829431498023,16.75,2024-02-27,2024-02-27 16:45:00,48.2218956959184
8,2024-02-27 02:00:00,1.0304,75.0811,15.499028260000001,108.35552811288512,16.75,2024-02-27,2024-02-27 16:45:00,47.92380575763544
9,2024-02-27 02:15:00,1.0285,75.2179,15.49698878,108.14149462321882,16.75,2024-02-27,2024-02-27 16:45:00,48.10614790667718
10,2024-02-27 02:30:00,1.0285,74.9844,15.453139960000001,107.8355076344185,16.75,2024-02-27,2024-02-27 16:45:00,48.09289041897673
11,2024-02-27 02:45:00,1.0248,75.4027,15.472515020000001,107.58228957225285,16.75,2024-02-27,2024-02-27 16:45:00,48.47500473540636
12,2024-02-27 03:00:00,1.025,74.5738,15.48679138,107.70256998526112,16.75,2024-02-27,2024-02-27 16:45:00,47.888579266691984
13,2024-02-27 03:15:00,1.0184,73.7053,15.45721892,106.80473370607285,16.75,2024-02-27,2024-02-27 16:45:00,47.7287392129931
14,2024-02-27 03:30:00,1.0214,73.8084,15.456199179999999,107.11229195229606,16.75,2024-02-27,2024-02-27 16:45:00,47.65826461110318
15,2024-02-27 03:45:00,1.0199,73.6559,15.44192282,106.85619913249405,16.75,2024-02-27,2024-02-27 16:45:00,47.6737773500219
16,2024-02-27 04:00:00,1.0163,73.493,15.4184688,98.94649050482069,16.75,2024-02-27,2024-02-27 16:45:00,47.80945538053504
17,2024-02-27 04:15:00,1.0034,70.9874,15.4184688,97.69055256571592,16.75,2024-02-27,2024-02-27 16:45:00,46.773182363154696
18,2024-02-27 04:30:00,0.9673,65.9179,15.46027814,94.4312446124475,16.75,2024-02-27,2024-02-27 16:45:00,44.93201189714058
19,2024-02-27 04:45:00,0.9462,63.2497,15.491890080000001,92.56026166628969,16.75,2024-02-27,2024-02-27 16:45:00,43.98474839122583
20,2024-02-27 05:00:00,0.9372,62.0028,15.45619918,83.13394932121801,16.75,2024-02-27,2024-02-27 16:45:00,43.63221989186611
21,2024-02-27 05:15:00,0.9347,61.7585,15.49800852,83.13646701720629,16.75,2024-02-27,2024-02-27 16:45:00,43.45898648737194
22,2024-02-27 05:30:00,0.933,62.3817,15.504126959999999,83.01802293996701,16.75,2024-02-27,2024-02-27 16:45:00,43.96015738471335
23,2024-02-27 05:45:00,0.9336,61.815,15.4592584,82.83100412778343,16.75,2024-02-27,2024-02-27 16:45:00,43.65915910344839
24,2024-02-27 06:00:00,0.9322,61.8241,15.50208748,82.93592802540367,16.75,2024-02-27,2024-02-27 16:45:00,43.61034411465347
25,2024-02-27 06:15:00,0.9318,61.8441,15.51228488,82.95487336583427,16.75,2024-02-27,2024-02-27 16:45:00,43.61448898468289
26,2024-02-27 06:30:00,0.9328,62.186,15.49596904,82.95655417078042,16.75,2024-02-27,2024-02-27 16:45:00,43.85471951530378
27,2024-02-27 06:45:00,0.934,61.6446,15.49800852,83.07420583510289,16.75,2024-02-27,2024-02-27 16:45:00,43.41134682898304
28,2024-02-27 07:00:00,0.9386,62.1146,15.44498204,91.53879277769663,16.75,2024-02-27,2024-02-27 16:45:00,43.67739496048767
29,2024-02-27 07:15:00,0.936,62.3888,15.45212022,83.0055924744182,16.75,2024-02-27,2024-02-27 16:45:00,43.97174471199483
30,2024-02-27 07:30:00,0.9105,59.0471,15.48067294,80.89342286751676,16.75,2024-02-27,2024-02-27 16:45:00,42.70313701573845
31,2024-02-27 07:45:00,0.8991,57.9928,15.55205474,80.24892078596551,16.75,2024-02-27,2024-02-27 16:45:00,42.277499837389975
32,2024-02-27 08:00:00,0.9037,59.8611,15.76110144,81.74369655821869,16.75,2024-02-27,2024-02-27 16:45:00,42.84151686529723
33,2024-02-27 08:15:00,0.9077,61.3765,15.82738454,82.45080803877552,16.75,2024-02-27,2024-02-27 16:45:00,43.54934448097094
34,2024-02-27 08:30:00,0.9212,64.3421,15.918141400000001,84.15689704345064,16.75,2024-02-27,2024-02-27 16:45:00,44.72804708677219
35,2024-02-27 08:45:00,1.1239,93.4606,15.754983,127.0557674886609,16.75,2024-02-27,2024-02-27 16:45:00,53.80392359550721
36,2024-02-27 09:00:00,1.22,106.1115,15.560212660000001,142.38035600421264,16.75,2024-02-27,2024-02-27 16:45:00,56.9794283170114
37,2024-02-27 09:15:00,1.2125,104.1707,15.4592584,140.58698569140245,16.75,2024-02-27,2024-02-27 16:45:00,56.650816208285526
38,2024-02-27 09:30:00,1.2008,100.9712,15.351165960000001,138.2568830783193,16.75,2024-02-27,2024-02-27 16:45:00,55.836278434296645
39,2024-02-27 09:45:00,1.2014,99.1352,15.282843380000001,137.71032578869182,16.75,2024-02-27,2024-02-27 16:45:00,55.03856341343493
40,2024-02-27 10:00:00,1.1848,96.6506,15.26652754,135.6625658052301,16.75,2024-02-27,2024-02-27 16:45:00,54.46910459331403
41,2024-02-27 10:15:00,0.9932,69.9561,15.45721892,96.94050813871345,16.75,2024-02-27,2024-02-27 16:45:00,46.45029898673478
42,2024-02-27 10:30:00,0.8717,53.8001,15.5255415,77.67070177390362,16.75,2024-02-27,2024-02-27 16:45:00,40.52287716228894
43,2024-02-27 10:45:00,0.8737,54.3738,15.69991704,78.72326900140419,16.75,2024-02-27,2024-02-27 16:45:00,40.407407253701884
44,2024-02-27 11:00:00,0.8741,55.6335,15.7396869,78.95881754497684,16.75,2024-02-27,2024-02-27 16:45:00,41.2202068156353
45,2024-02-27 11:15:00,0.879,56.3948,15.805969999999999,79.73581820612873,16.75,2024-02-27,2024-02-27 16:45:00,41.37709772077902
46,2024-02-27 11:30:00,0.8806,57.7922,15.88550972,80.28293894373178,16.75,2024-02-27,2024-02-27 16:45:00,42.113407638327
47,2024-02-27 11:45:00,0.8988,61.2866,15.98850346,82.47347725172436,16.75,2024-02-27,2024-02-27 16:45:00,43.47360371860875
48,2024-02-27 12:00:00,1.0973,89.7638,15.8263648,124.61069695679858,16.75,2024-02-27,2024-02-27 16:45:00,52.68969332252602
49,2024-02-27 12:15:00,1.1723,99.9479,15.655048480000001,131.68671244670426,16.75,2024-02-27,2024-02-27 16:45:00,55.51514575380293
50,2024-02-27 12:30:00,1.1742,98.2033,15.602022,131.45337346366662,16.75,2024-02-27,2024-02-27 16:45:00,54.64294686620758
51,2024-02-27 12:45:00,1.1734,96.5301,15.41948854,129.8269415712932,16.75,2024-02-27,2024-02-27 16:45:00,54.38482010504219
52,2024-02-27 13:00:00,1.1663,95.3025,15.404192440000001,128.9133768965218,16.75,2024-02-27,2024-02-27 16:45:00,54.07369845138786
53,2024-02-27 13:15:00,1.1665,94.3432,15.33586986,128.3636126739149,16.75,2024-02-27,2024-02-27 16:45:00,53.75866037500908
54,2024-02-27 13:30:00,1.0514,77.7231,15.42968594,110.06920054477666,16.75,2024-02-27,2024-02-27 16:45:00,48.83779501853102
55,2024-02-27 13:45:00,0.8983,57.5601,15.54695604,80.15123102133249,16.75,2024-02-27,2024-02-27 16:45:00,42.013200061521616
56,2024-02-27 14:00:00,0.8975,58.082,15.611199659999999,80.41075912683534,16.75,2024-02-27,2024-02-27 16:45:00,42.25730729700117
57,2024-02-27 14:15:00,0.9007,58.9166,15.739686899999999,81.36163706985543,16.75,2024-02-27,2024-02-27 16:45:00,42.36355693382865
58,2024-02-27 14:30:00,0.903,59.973,15.781496240000001,81.78607250687494,16.75,2024-02-27,2024-02-27 16:45:00,42.89936265243657
59,2024-02-27 14:45:00,0.9065,60.9302,15.862055699999999,82.52218255466073,16.75,2024-02-27,2024-02-27 16:45:00,43.19528236255711
60,2024-02-27 15:00:00,0.9079,61.994,15.904884780000001,82.87279191175624,16.75,2024-02-27,2024-02-27 16:45:00,43.76350611104733
61,2024-02-27 15:15:00,0.9287,65.2088,15.90386504,84.76597346866477,16.75,2024-02-27,2024-02-27 16:45:00,45.00482461988225
